Old Method Name,New Method Name
isDeclaredAsAbstract,func_65e0d961285ddd96cc61803163e8b17e062a1b38784ab4d6921a12aaf47b5a17
visitClass,func_b6bcaa494bacb30e6ea2e968bfbdc9527f24044021064f365fb32d3d40149fe0
visitCtor,func_538fe6f2dd7aa8c63fedef8adf824a32abdc83da638197ba2d5d964b0f0ad8f6
registerAnonymousInnerClass,func_74641d07a32ae9b2b38465a7b8f03865328493393f5bb11a117af865120b9562
getClassDeclarationNameMatchingCountDiff,func_aaaf2724a8090267d4809a346c8c808dad9e2c3169cdd5aaae494dd436881ab9
beginTree,func_b8589916bf95b9a0726be74cafdabd6b73c1043a93641729674db925494ae646
leaveToken,func_dd1b5a202eadf7e206f0e818feebd8b3964802f9a5f7a6f605eb9c94423b3af3
getClassAst,func_77329693877893f12f7c17fc1fdc4b8f6d09b5f4abf6f67adb480ed6da3554e5
getQualifiedName,func_9cafaa3415ca007b3f7909cb6837ced41020e4fd24d59a46cb3f284c5c24e90e
isWithAnonymousInnerClass,func_676b8388ceca788ac6c255489a1daefb8feed1d00c5b743c772c7d5266c4417c
getDepth,func_8189dbec8265fa2c74971ae23e7b9015281b6f1be02bba5326a88b2e349fd73c
doesNameOfClassMatchAnonymousInnerClassName,func_e6b78a609ea9f8ce66cf6fcb022199b2300087c011fa94816266cc33ea5a93ea
shouldBeDeclaredAsFinal,func_40e6ffd910d4185f9df0e4ef87116d57b90cec06a944005809841fb6afb4de06
