Project,Bug Number
assertj_assertj-core,2324
assertj_assertj-core,2364
assertj_assertj-core,2445
assertj_assertj-core,2549
assertj_assertj-core,2685
checkstyle_checkstyle,10825
checkstyle_checkstyle,10839
checkstyle_checkstyle,10840
checkstyle_checkstyle,10857
checkstyle_checkstyle,10958
checkstyle_checkstyle,10963
checkstyle_checkstyle,10967
checkstyle_checkstyle,11020
checkstyle_checkstyle,11085
checkstyle_checkstyle,11270
checkstyle_checkstyle,11383
checkstyle_checkstyle,11468
checkstyle_checkstyle,11926
FasterXML_jackson-databind,3195
FasterXML_jackson-databind,3418
google_gson,2060
google_gson,2061
google_gson,2071
google_gson,2130
google_gson,2134
google_gson,2153
google_gson,2158
Hakky54_sslcontext-kickstart,122
Hakky54_sslcontext-kickstart,167
Hakky54_sslcontext-kickstart,197
Hakky54_sslcontext-kickstart,203
jhy_jsoup,1648
jhy_jsoup,1763
